lead_days,mean,min,max,std,count,variable,model
5.0,6.081935523676518,5.7772264464562975,6.35090893858442,0.28850594207790337,3.0,T850,multiscale
0.25,0.9695629142129968,0.9629529043411332,0.9783932093522878,0.007956004318182395,3.0,T850,multiscale_smooth
0.5,1.4746406311311542,1.4657213295732556,1.4896969821322967,0.013113180804426482,3.0,T850,multiscale_smooth
0.75,1.7255309875163505,1.7157027298555751,1.740105132226196,0.012874855077876288,3.0,T850,multiscale_smooth
1.0,1.9099919653956519,1.8966203102564057,1.9249883955292493,0.014253665698638125,3.0,T850,multiscale_smooth
1.25,2.1968879075674654,2.179893414249077,2.2145900953884485,0.01735916311789118,3.0,T850,multiscale_smooth
1.5,2.4262537115244283,2.404449091988687,2.4468935182076104,0.021246174267371548,3.0,T850,multiscale_smooth
1.75,2.555792800497343,2.529829926510655,2.575443255806527,0.023452695464135555,3.0,T850,multiscale_smooth
2.0,2.6661146547862535,2.637503031984305,2.6864457329586138,0.02550044233316538,3.0,T850,multiscale_smooth
2.25,2.85934000333202,2.82708292267667,2.883118778660662,0.028964038649233984,3.0,T850,multiscale_smooth
2.5,3.032675467973648,2.9950312364807483,3.060676739004621,0.03386846638476068,3.0,T850,multiscale_smooth
2.75,3.139433593088338,3.0974724611243145,3.1682559423891603,0.037175879443475286,3.0,T850,multiscale_smooth
3.0,3.2349444104971963,3.190329324595856,3.2655689957933394,0.03952281127228159,3.0,T850,multiscale_smooth
3.25,3.396389744359373,3.3479181384016705,3.430985003614805,0.04323703010655856,3.0,T850,multiscale_smooth
3.5,3.5444044008481743,3.4904171977008014,3.5829474013669285,0.04815965317305687,3.0,T850,multiscale_smooth
3.75,3.636294124209997,3.577446997272309,3.674911403042705,0.05178573803478144,3.0,T850,multiscale_smooth
4.0,3.7180197352074877,3.656049065567336,3.756728919636978,0.05422112848812251,3.0,T850,multiscale_smooth
4.25,3.8553072204650114,3.788224937390115,3.895738165967793,0.058502084796921136,3.0,T850,multiscale_smooth
